x,y,velocity_x,velocity_y,pressure,strain_trace,stress_xx,stress_xy,stress_yy,von_mises_stress
-5,-2,0,0,0,0,0,0,0,0
-4.95,-2,0,0,0,0,0,0,0,0
-4.9,-2,0,0,0,0,0,0,0,0
-4.85,-2,0,0,0,0,0,0,0,0
-4.8,-2,0,0,0,0,0,0,0,0
-4.75,-2,0,0,0,0,0,0,0,0
-4.7,-2,0,0,0,0,0,0,0,0
-4.65,-2,0,0,0,0,0,0,0,0
-4.6,-2,0,0,0,0,0,0,0,0
-4.55,-2,0,0,0,0,0,0,0,0
-4.5,-2,0,0,0,0,0,0,0,0
-4.45,-2,0,0,0,0,0,0,0,0
-4.4,-2,0,0,0,0,0,0,0,0
-4.35,-2,0,0,0,0,0,0,0,0
-4.3,-2,0,0,0,0,0,0,0,0
-4.25,-2,0,0,0,0,0,0,0,0
-4.2,-2,0,0,0,0,0,0,0,0
-4.15,-2,0,0,0,0,0,0,0,0
-4.1,-2,0,0,0,0,0,0,0,0
-4.05,-2,0,0,0,0,0,0,0,0
-4,-2,0,0,0,0,0,0,0,0
-3.95,-2,0,0,0,0,0,0,0,0
-3.9,-2,0,0,0,0,0,0,0,0
-3.85,-2,0,0,0,0,0,0,0,0
-3.8,-2,0,0,0,0,0,0,0,0
-3.75,-2,0,0,0,0,0,0,0,0
-3.7,-2,0,0,0,0,0,0,0,0
-3.65,-2,0,0,0,0,0,0,0,0
-3.6,-2,0,0,0,0,0,0,0,0
-3.55,-2,0,0,0,0,0,0,0,0
-3.5,-2,0,0,0,0,0,0,0,0
-3.45,-2,0,0,0,0,0,0,0,0
-3.4,-2,0,0,0,0,0,0,0,0
-3.35,-2,0,0,0,0,0,0,0,0
-3.3,-2,0,0,0,0,0,0,0,0
-3.25,-2,0,0,0,0,0,0,0,0
-3.2,-2,0,0,0,0,0,0,0,0
-3.15,-2,0,0,0,0,0,0,0,0
-3.1,-2,0,0,0,0,0,0,0,0
-3.05,-2,0,0,0,0,0,0,0,0
-3,-2,0,0,0,0,0,0,0,0
-2.95,-2,0,0,0,0,0,0,0,0
-2.9,-2,0,0,0,0,0,0,0,0
-2.85,-2,0,0,0,0,0,0,0,0
-2.8,-2,0,0,0,0,0,0,0,0
-2.75,-2,0,0,0,0,0,0,0,0
-2.7,-2,0,0,0,0,0,0,0,0
-2.65,-2,0,0,0,0,0,0,0,0
-2.6,-2,0,0,0,0,0,0,0,0
-2.55,-2,0,0,0,0,0,0,0,0
-2.5,-2,0,0,0,0,0,0,0,0
-2.45,-2,0,0,0,0,0,0,0,0
-2.4,-2,0,0,0,0,0,0,0,0
-2.35,-2,0,0,0,0,0,0,0,0
-2.3,-2,0,0,0,0,0,0,0,0
-2.25,-2,0,0,0,0,0,0,0,0
-2.2,-2,0,0,0,0,0,0,0,0
-2.15,-2,0,0,0,0,0,0,0,0
-2.1,-2,0,0,0,0,0,0,0,0
-2.05,-2,0,0,0,0,0,0,0,0
-2,-2,0,0,0,0,0,0,0,0
-1.95,-2,0,0,0,0,0,0,0,0
-1.9,-2,0,0,0,0,0,0,0,0
-1.85,-2,0,0,0,0,0,0,0,0
-1.8,-2,0,0,0,0,0,0,0,0
-1.75,-2,0,0,0,0,0,0,0,0
-1.7,-2,0,0,0,0,0,0,0,0
-1.65,-2,0,0,0,0,0,0,0,0
-1.6,-2,0,0,0,0,0,0,0,0
-1.55,-2,0,0,0,0,0,0,0,0
-1.5,-2,0,0,0,0,0,0,0,0
-1.45,-2,0,0,0,0,0,0,0,0
-1.4,-2,0,0,0,0,0,0,0,0
-1.35,-2,0,0,0,0,0,0,0,0
-1.3,-2,0,0,0,0,0,0,0,0
-1.25,-2,0,0,0,0,0,0,0,0
-1.2,-2,0,0,0,0,0,0,0,0
-1.15,-2,0,0,0,0,0,0,0,0
-1.1,-2,0,0,0,0,0,0,0,0
